date,region,product,sales,deals_closed,inventory
2022-01-31,Region_15,Product_1,16738,12,925
2022-02-28,Region_15,Product_1,6526,40,114
2022-03-31,Region_15,Product_1,14111,22,110
2022-04-30,Region_15,Product_1,17438,31,888
2022-05-31,Region_15,Product_1,8087,23,123
2022-06-30,Region_15,Product_1,6092,39,779
2022-07-31,Region_15,Product_1,15335,17,293
2022-08-31,Region_15,Product_1,10959,39,297
2022-09-30,Region_15,Product_1,9602,44,172
2022-10-31,Region_15,Product_1,16612,47,399
2022-11-30,Region_15,Product_1,15659,38,584
2022-12-31,Region_15,Product_1,5818,31,774
2023-01-31,Region_15,Product_1,11002,19,568
2023-02-28,Region_15,Product_1,16259,20,763
2023-03-31,Region_15,Product_1,15384,29,545
2023-04-30,Region_15,Product_1,18634,13,438
2023-05-31,Region_15,Product_1,14905,26,963
2023-06-30,Region_15,Product_1,11370,23,166
2023-07-31,Region_15,Product_1,5147,36,147
2023-08-31,Region_15,Product_1,15709,39,661
2023-09-30,Region_15,Product_1,15442,15,447
2023-10-31,Region_15,Product_1,13689,21,889
2023-11-30,Region_15,Product_1,15793,45,884
2023-12-31,Region_15,Product_1,9050,44,307
2024-01-31,Region_15,Product_1,9779,38,491
2024-02-29,Region_15,Product_1,7401,43,662
2024-03-31,Region_15,Product_1,8212,14,562
2024-04-30,Region_15,Product_1,8739,23,767
2024-05-31,Region_15,Product_1,14274,37,262
2024-06-30,Region_15,Product_1,18543,30,325
2024-07-31,Region_15,Product_1,10508,37,519
2024-08-31,Region_15,Product_1,17150,38,375
2024-09-30,Region_15,Product_1,14162,33,425
2024-10-31,Region_15,Product_1,19269,17,576
2024-11-30,Region_15,Product_1,13440,33,860
2024-12-31,Region_15,Product_1,18053,27,567
